0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
1967,16,219,324,4,13,10,34,2,606,,0,587,219,7,4894,21.8,0
1968,16,201,307,8,5,7,24,3,555,,0,528,242,4,4592,20.5,0
1969,16,197,323,3,7,12,19,3,564,,0,551,243,9,4682,20.9,0
1970,26,293,427,9,15,17,26,10,797,,0,772,478,11,7010,19.3,0
1971,26,333,389,3,9,26,35,11,806,,0,786,468,11,7048,19.4,0
1972,26,364,404,6,6,19,30,11,840,,0,811,499,12,7372,20.3,0
1973,26,330,378,5,10,18,30,9,780,,0,754,543,12,7087,19.5,0
1974,26,365,376,9,4,22,31,3,810,,0,733,335,10,6618,18.2,0
1975,26,413,433,9,7,28,25,5,920,,0,834,369,17,7495,20.6,0
1976,28,414,432,13,2,17,28,4,910,,0,816,400,16,7508,19.2,0
1977,28,352,388,10,11,18,28,8,815,,0,741,360,11,6733,17.2,0
1978,28,454,468,7,7,18,30,13,997,,0,914,427,18,8213,18.3,0
1979,28,487,538,6,6,23,30,11,1101,,0,991,454,15,8989,20.1,0
1980,28,431,606,7,8,22,30,8,1112,,0,1042,478,15,9178,20.5,0
1981,28,441,591,11,5,25,30,1,1104,,0,1041,521,17,9262,20.7,0
1982,28,231,320,5,2,12,22,3,595,,0,557,311,10,5080,20.2,0
1983,28,437,625,12,3,34,49,4,1164,,0,1104,551,19,9779,21.8,0
1984,28,410,615,8,5,26,51,3,1118,,0,1075,563,15,9502,21.2,0
1985,28,443,598,8,8,20,41,7,1125,,0,1073,596,17,9645,21.5,0
1986,28,401,586,14,7,24,29,16,1077,,0,1026,559,14,9193,20.5,0
1987,28,361,611,11,6,28,29,16,1062,,0,1010,551,18,9071,21.6,0
1988,28,424,556,6,8,20,27,10,1051,,0,1004,571,26,9075,20.3,0
1989,28,388,582,5,9,29,36,11,1060,,0,1025,601,22,9232,20.6,0
1990,28,377,575,8,6,27,35,7,1035,,0,997,590,19,9015,20.1,0
1991,28,358,511,9,8,26,32,5,949,,0,919,623,12,8506,19,0
1992,28,333,516,17,6,33,47,6,958,,0,936,561,12,8391,18.7,0
1993,28,304,517,14,4,30,35,2,906,,0,876,673,23,8377,18.7,0
1994,28,340,583,16,16,19,45,1,1020,59,0,891,640,13,9075,20.3,0
1995,30,385,663,10,9,38,52,4,1161,40,0,1030,738,12,10314,21.5,0
1996,30,364,626,13,9,27,41,4,1084,44,0,977,732,20,9805,20.4,0
1997,30,384,617,15,14,37,47,6,1120,47,0,993,708,13,9957,20.7,0
1998,30,379,658,16,18,29,53,4,1157,41,0,1031,708,18,10215,21.3,0
1999,31,363,665,16,13,35,58,3,1153,31,0,1051,749,23,10324,20.8,0
2000,31,412,634,15,15,19,51,5,1151,35,0,1053,731,16,10254,20.7,0
2001,31,365,635,12,10,33,59,6,1120,40,0,1008,732,10,10024,20.2,0
2002,32,460,694,22,17,26,46,5,1270,47,0,1148,737,12,11097,21.7,0
2003,32,427,654,18,13,24,58,4,1198,29,0,1110,756,21,10666,20.8,0
2004,32,416,732,11,17,34,53,5,1268,37,0,1179,703,15,11000,21.5,0
2005,32,431,644,9,12,23,47,6,1172,27,0,1099,783,11,10556,20.6,0
2006,32,424,648,15,9,33,49,3,1181,21,0,1124,767,12,10577,20.7,0
2007,32,386,720,17,25,37,52,6,1243,30,0,1165,795,18,11104,21.7,0
2008,32,476,646,16,13,33,52,10,1246,28,0,1170,845,21,11279,22,0
2009,32,429,710,10,18,25,48,7,1247,24,0,1165,756,14,10991,21.5,0
2010,32,399,751,13,23,22,57,5,1270,26,0,1203,794,13,11283,22,0
2011,32,400,745,20,9,31,49,5,1259,24,0,1200,838,21,11358,22.2,0
2012,32,401,757,18,13,26,71,11,1297,29,0,1229,852,13,11651,22.8,0
2013,32,410,804,13,7,33,65,9,1341,34,0,1262,863,20,12005,23.4,0
2014,32,380,807,13,6,28,47,12,1293,28,0,1222,829,21,11565,22.6,0
2015,32,365,842,13,7,33,53,5,1318,45,1,1146,834,16,11680,22.8,0
2016,32,443,786,10,7,23,34,4,1307,51,4,1119,850,20,11661,22.8,0
2017,32,380,741,10,7,41,42,4,1225,37,1,1066,866,15,11120,21.7,0
2018,32,439,847,7,5,24,45,4,1371,66,2,1164,802,10,11952,23.3,0
2019,32,447,797,7,7,34,35,5,1332,54,2,1136,802,17,11680,22.8,0
2020,32,532,871,8,7,21,31,3,1473,63,0,1244,812,24,12692,24.8,0
2021,32,505,840,2,9,18,41,8,1423,75,1,1174,874,8,12502,23,0
